,ts_local_iso,dt_local,regime,side,qty,entry_price,exit_price,pnl,pnl_pct,risk_usdt,pnl_r,reason
187,2025-12-19T03:57:59-03:00,2025-12-19T06:57:59.000Z,TREND,LONG,0.0814398566658522,122.79,123.23,0.0358335369329748,0.000035833536932974814,0.0131036900598574,2.734614201746829,TRAIL_SL_LONG
189,2025-12-19T04:16:59-03:00,2025-12-19T07:16:59.000Z,TREND,LONG,0.0801538954793203,124.76,124.34,-0.0336646361013146,-0.00003366463610131466,0.0322859136062839,-1.042703530457393,TRAIL_SL_LONG
191,2025-12-19T04:24:59-03:00,2025-12-19T07:24:59.000Z,TREND,LONG,0.0804958544634951,124.23,124.14,-0.0072446269017148,-0.000007244626901714835,0.0312694384484763,-0.2316839464083122,DELTA_FLIP_SHORT
193,2025-12-19T04:25:59-03:00,2025-12-19T07:25:59.000Z,TREND,SHORT,0.0805542129853391,124.14,124.3,-0.0128886740776539,-0.000012888674077653986,0.0306968114340406,-0.4198701257734303,DELTA_FLIP_LONG
195,2025-12-19T04:28:59-03:00,2025-12-19T07:28:59.000Z,TREND,LONG,0.080450522928399,124.3,124.09,-0.0168946098149632,-0.000016894609814963294,0.0305362189567191,-0.5532646277821426,DELTA_FLIP_SHORT
197,2025-12-19T04:35:59-03:00,2025-12-19T07:35:59.000Z,TREND,SHORT,0.0805866709646224,124.09,124.2,-0.0088645338061084,-0.000008864533806108423,0.0293691939707527,-0.30183102113514393,TRAIL_SL_SHORT
199,2025-12-19T05:29:59-03:00,2025-12-19T08:29:59.000Z,TREND,SHORT,0.0806321561038542,124.02,123.93,0.007256894049346,0.000007256894049346008,0.0179150836887292,0.4050717359423491,DELTA_FLIP_LONG
201,2025-12-19T05:31:59-03:00,2025-12-19T08:31:59.000Z,TREND,LONG,0.0806907124989913,123.93,123.88,-0.0040345356249504,-0.000004034535624950485,0.017684967797484,-0.22813361444313088,TRAIL_SL_LONG
203,2025-12-19T05:38:59-03:00,2025-12-19T08:38:59.000Z,TREND,LONG,0.0803212851405622,124.5,124.64,0.0112449799196787,0.00001124497991967876,0.0219603817743189,0.5120575787452338,TRAIL_SL_LONG
205,2025-12-19T09:03:59-03:00,2025-12-19T12:03:59.000Z,TREND,LONG,0.0798849656494647,125.18,125.13,-0.0039942482824741,-0.000003994248282474146,0.016382325111444,-0.24381449246687745,DELTA_FLIP_SHORT
